CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
AXD.CORE LTD,12860979,,,13 CHANNEL VIEW ROAD,,EASTBOURNE,,ENGLAND,BN22 7LR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,07/09/2020,30,9,07/06/2022,,NO ACCOUNTS FILED,05/10/2021,,0,0,0,0,39000 - Remediation activities and other waste management services,,,,0,0,http://business.data.gov.uk/id/company/12860979,,,,,,,,,,,,,,,,,,,,,20/09/2021,
AXDEL LIMITED,5386242,,,16 PALACE GATES ROAD,,LONDON,,ENGLAND,N22 7BN,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,09/03/2005,31,3,31/12/2018,31/03/2017,MICRO ENTITY,06/04/2017,09/03/2016,0,0,0,0,56102 - Unlicensed restaurants and cafes,,,,0,0,http://business.data.gov.uk/id/company/05386242,,,,,,,,,,,,,,,,,,,,,23/03/2018,09/03/2017
AXDN LTD,NI677154,,,30 LORD WARDEN'S GRANGE,,BANGOR,,NORTHERN IRELAND,BT19 1YN,Private Limited Company,Active,United Kingdom,,05/03/2021,31,3,05/12/2022,,NO ACCOUNTS FILED,02/04/2022,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/NI677154,,,,,,,,,,,,,,,,,,,,,18/03/2022,
AXDONIS LIMITED,12337491,,,COURTWOOD HOUSE,SILVER STREET HEAD,SHEFFIELD,,ENGLAND,S1 2DD,Private Limited Company,Active,United Kingdom,,27/11/2019,30,11,31/08/2022,30/11/2020,MICRO ENTITY,25/12/2020,,0,0,0,0,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12337491,,,,,,,,,,,,,,,,,,,,,10/12/2021,26/11/2020
AXE & COMPASS LIMITED,4796455,,,AXE & COMPASS PUBLIC HOUSE,HIGH STREET HEMMINGFORD ABBOTTS,HUNTINGDON,CAMBRIDGESHIRE,,PE28 9AH,Private Limited Company,Active,United Kingdom,,12/06/2003,31,1,31/10/2021,31/01/2020,MICRO ENTITY,10/07/2017,12/06/2016,0,0,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id/company/04796455,,,,,,,,,,,,,,,,,,,,,26/06/2022,12/06/2021
AXE & CULLINGWORTH LTD,13110204,,,DRUIDS HOUSE 25 HIGH STREET,BENTLEY,DONCASTER,SOUTH YORKSHIRE,UNITED KINGDOM,DN5 0AA,Private Limited Company,Active,United Kingdom,,04/01/2021,31,1,04/10/2022,,NO ACCOUNTS FILED,01/02/2022,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id/company/13110204,,,,,,,,,,,,,,,,,,,,,17/01/2022,
AXE & HAMMER FITNESS LTD,13116412,,,8 VENTURE COURT,SANDWASH CLOSE,ST. HELENS,,UNITED KINGDOM,WA11 8LY,Private Limited Company,Active,United Kingdom,,06/01/2021,31,1,06/10/2022,,NO ACCOUNTS FILED,03/02/2022,,0,0,0,0,93130 - Fitness facilities,,,,0,0,http://business.data.gov.uk/id/company/13116412,,,,,,,,,,,,,,,,,,,,,19/01/2022,
AXE & RECH LTD,12954054,,,71-75 SHELTON STREET,,LONDON,GREATER LONDON,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,15/10/2020,31,10,15/07/2022,,NO ACCOUNTS FILED,12/11/2021,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/12954054,,,,,,,,,,,,,,,,,,,,,28/10/2021,
AXE & STATUS MACHINERY LIMITED,5036242,,,2 HOLDOM AVENUE,"SAXON PARK, BLETCHLEY",MILTON KEYNES,BUCKS,UNITED KINGDOM,MK1 1QU,Private Limited Company,Active,United Kingdom,,05/02/2004,31,1,31/10/2021,31/01/2020,TOTAL EXEMPTION FULL,05/03/2017,05/02/2016,5,1,0,4,"46140 - Agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,,0,0,http://business.data.gov.uk/id/company/05036242,,,,,,,,,,,,,,,,,,,,,19/02/2022,05/02/2021
AXE + SAW LIMITED,12889355,,,15A HATLEY ROAD,,LONDON,,UNITED KINGDOM,N4 3NN,Private Limited Company,Active,United Kingdom,,18/09/2020,30,9,18/06/2022,,NO ACCOUNTS FILED,16/10/2021,,0,0,0,0,70210 - Public relations and communications activities,70229 - Management consultancy activities other than financial management,,,0,0,http://business.data.gov.uk/id/company/12889355,,,,,,,,,,,,,,,,,,,,,01/10/2021,
AXE 2020 CONSULTING LIMITED,11392845,,,TELEPHONE HOUSE,18 CHRISTCHURCH ROAD,BOURNEMOUTH,,ENGLAND,BH1 3NE,Private Limited Company,Active,United Kingdom,,01/06/2018,30,6,31/03/2022,30/06/2020,TOTAL EXEMPTION FULL,29/06/2019,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/11392845,,,,,,,,,,,,,,,,,,,,,14/06/2022,31/05/2021
AXE AND KETTLE LTD,12255847,,,1 LAUNDRY HOUSES,CHURCH STREET,ALFRETON,,UNITED KINGDOM,DE55 7AH,Private Limited Company,Active,United Kingdom,,10/10/2019,31,3,31/12/2021,31/03/2020,MICRO ENTITY,07/11/2020,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/12255847,,,,,,,,,,,,,,,,,,,,,23/10/2021,09/10/2020
AXE ASSOCIATES LIMITED,4535593,,,HARTSMEAD,"BUCKLEY ROAD, SIDBURY",SIDMOUTH,DEVON,,EX10 0SL,Private Limited Company,Active,United Kingdom,,16/09/2002,31,12,30/09/2022,31/12/2020,UNAUDITED ABRIDGED,14/10/2016,16/09/2015,3,0,0,3,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/04535593,14/12/2004,FLEMING SECURITIES (HAREPATH) LIMITED,,,,,,,,,,,,,,,,,,,30/09/2021,16/09/2020
AXE ATWAL LTD,12311897,,,SHINE BUILDING,HAREHILLS ROAD,LEEDS,,ENGLAND,LS8 5HS,Private Limited Company,Active,United Kingdom,,13/11/2019,31,7,30/04/2022,31/07/2020,DORMANT,11/12/2020,,0,0,0,0,69102 - Solicitors,,,,0,0,http://business.data.gov.uk/id/company/12311897,,,,,,,,,,,,,,,,,,,,,26/11/2021,12/11/2020
AXE BLOCK MANAGEMENT LIMITED,12867164,,,PRIESTFIELD FARM HENFIELD ROAD,ALBOURNE,WEST SUSSEX,,UNITED KINGDOM,BN6 9DE,Private Limited Company,Active,United Kingdom,,09/09/2020,30,9,09/06/2022,,NO ACCOUNTS FILED,07/10/2021,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/12867164,,,,,,,,,,,,,,,,,,,,,22/09/2021,
AXE BRITISH COMMODITY GROUP LTD,11990276,,,20-22 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,Private Limited Company,Active,United Kingdom,,10/05/2019,31,5,28/02/2022,31/05/2020,TOTAL EXEMPTION FULL,07/06/2020,,0,0,0,0,10890 - Manufacture of other food products n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11990276,,,,,,,,,,,,,,,,,,,,,23/05/2022,09/05/2021
AXE BUILDINGS LTD,13040394,,,13 HAMILTON ROAD,,COVENTRY,,ENGLAND,CV2 4FG,Private Limited Company,Active,United Kingdom,,24/11/2020,30,11,24/08/2022,,NO ACCOUNTS FILED,22/12/2021,,0,0,0,0,41201 - Construction of commercial buildings,81210 - General cleaning of buildings,81222 - Specialised cleaning services,,0,0,http://business.data.gov.uk/id/company/13040394,,,,,,,,,,,,,,,,,,,,,07/12/2021,
AXE BULDINGS LTD,13040124,,,13 HAMILTON ROAD,,COVENTRY,,ENGLAND,CV2 4FG,Private Limited Company,Active,United Kingdom,,24/11/2020,30,11,24/08/2022,,NO ACCOUNTS FILED,22/12/2021,,0,0,0,0,41201 - Construction of commercial buildings,81210 - General cleaning of buildings,81222 - Specialised cleaning services,,0,0,http://business.data.gov.uk/id/company/13040124,,,,,,,,,,,,,,,,,,,,,07/12/2021,
AXE CAP INVESTMENTS LTD,12248435,,,42 HIGH STREET,,BILSTON,,ENGLAND,WV14 0EP,Private Limited Company,Active,United Kingdom,,08/10/2019,31,10,31/07/2022,31/10/2020,DORMANT,05/11/2020,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/12248435,,,,,,,,,,,,,,,,,,,,,21/10/2021,07/10/2020
AXE CAP LONDON LIMITED,12799095,,,CHESTER HOUSE 81-83,FULHAM HIGH STREET,LONDON,,ENGLAND,SW6 3JA,Private Limited Company,Active,United Kingdom,,07/08/2020,31,8,07/05/2022,,NO ACCOUNTS FILED,04/09/2021,,0,0,0,0,25120 - Manufacture of doors and windows of metal,,,,0,0,http://business.data.gov.uk/id/company/12799095,,,,,,,,,,,,,,,,,,,,,20/08/2021,
AXE CAPITAL EUROPE LIMITED,12968702,,,1/1A TELEGRAPGH STREET,TELEGRAPH STREET,LONDON,,ENGLAND,EC2R 7AR,Private Limited Company,Active,United Kingdom,,22/10/2020,31,10,22/07/2022,,NO ACCOUNTS FILED,19/11/2021,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12968702,,,,,,,,,,,,,,,,,,,,,04/11/2021,
AXE CAPITAL FS LTD,10517726,,,VALIANT OFFICE SUITES,LUMONICS HOUSE VALLEY DRIVE,RUGBY,WARWICKSHIRE,ENGLAND,CV21 1TQ,Private Limited Company,Active,United Kingdom,,08/12/2016,31,12,30/09/2021,31/12/2019,TOTAL EXEMPTION FULL,05/01/2018,,0,0,0,0,65110 - Life insurance,,,,0,0,http://business.data.gov.uk/id/company/10517726,,,,,,,,,,,,,,,,,,,,,14/12/2021,30/11/2020
AXE CAPITAL GAIN LTD,11081604,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,24/11/2017,30,11,31/08/2022,30/11/2020,DORMANT,22/12/2018,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/11081604,,,,,,,,,,,,,,,,,,,,,23/10/2021,09/10/2020
AXE CAPITAL GROUP LIMITED,12232829,,,BUILDING 18 GATEWAY 1000,"ARLINGTON BUSINESS PARK, WHITTLE WAY,",STEVENAGE,,UNITED KINGDOM,SG1 2FP,Private Limited Company,Active,United Kingdom,,30/09/2019,30,9,30/06/2022,30/09/2020,MICRO ENTITY,28/10/2020,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12232829,,,,,,,,,,,,,,,,,,,,,13/10/2021,29/09/2020
AXE CAPITAL HOLDINGS LIMITED,12123105,,,7 PARKSIDE WAY,,HARROW,,ENGLAND,HA2 6DE,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,25/07/2019,31,7,25/04/2021,,NO ACCOUNTS FILED,22/08/2020,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12123105,,,,,,,,,,,,,,,,,,,,,07/08/2021,24/07/2020
AXE CAPITAL INVESTMENTS LTD,13375478,,,20-22 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,Private Limited Company,Active,United Kingdom,,04/05/2021,31,5,04/02/2023,,NO ACCOUNTS FILED,01/06/2022,,0,0,0,0,64205 - Activities of financial services holding companies,64301 - Activities of investment trusts,66110 - Administration of financial markets,70221 - Financial management,0,0,http://business.data.gov.uk/id/company/13375478,,,,,,,,,,,,,,,,,,,,,17/05/2022,
AXE CAPITAL LIMITED,8899121,,,64 BAKER STREET,,LONDON,,ENGLAND,W1U 7GB,Private Limited Company,Active,United Kingdom,,17/02/2014,28,2,30/11/2021,28/02/2020,MICRO ENTITY,17/03/2017,17/02/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/08899121,,,,,,,,,,,,,,,,,,,,,03/03/2022,17/02/2021
AXE CAPITAL MANAGEMENT LIMITED,SC633237,,,77/2 HANOVER STREET,,EDINBURGH,,SCOTLAND,EH2 1EE,Private Limited Company,Active,United Kingdom,,12/06/2019,30,6,31/03/2022,30/06/2020,MICRO ENTITY,10/07/2020,,0,0,0,0,64999 - Financial intermediation not elsewhere classified,,,,0,0,http://business.data.gov.uk/id/company/SC633237,,,,,,,,,,,,,,,,,,,,,25/06/2022,11/06/2021
AXE CAPITAL PROPERTIES LTD,10750935,,,3 BROOKS PARADE,GREEN LANE,ILFORD,ESSEX,ENGLAND,IG3 9RT,Private Limited Company,Active,United Kingdom,,03/05/2017,31,5,28/02/2022,31/05/2020,MICRO ENTITY,31/05/2018,,0,0,0,0,68100 - Buying and selling of own real estate,68320 - Management of real estate on a fee or contract basis,,,0,0,http://business.data.gov.uk/id/company/10750935,,,,,,,,,,,,,,,,,,,,,16/05/2022,02/05/2021
AXE CAPITAL TRADING LTD,10363529,,,54 INGATESTONE ROAD,,WOODFORD GREEN,,ENGLAND,IG8 9AL,Private Limited Company,Active,United Kingdom,,07/09/2016,31,8,31/05/2022,31/08/2020,DORMANT,05/10/2017,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10363529,,,,,,,,,,,,,,,,,,,,,22/09/2021,08/09/2020
AXE CARS & SON’S LTD,13277363,,,MIDDLE FARM,STALBRIDGE WESTON,STURMINSTER NEWTON,,ENGLAND,DT10 2LA,Private Limited Company,Active,United Kingdom,,19/03/2021,31,3,19/12/2022,,NO ACCOUNTS FILED,16/04/2022,,0,0,0,0,45112 - Sale of used cars and light motor vehicles,45190 - Sale of other motor vehicles,,,0,0,http://business.data.gov.uk/id/company/13277363,,,,,,,,,,,,,,,,,,,,,01/04/2022,
AXE CLIFF FARMS & ESTATES LIMITED PARTNERSHIP,LP020668,,,16 CAMBERWELL GROVE,,LONDON,,,SE5 8RE,Limited Partnership,Active,United Kingdom,,20/11/2019,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,1,1,http://business.data.gov.uk/id/company/LP020668,,,,,,,,,,,,,,,,,,,,,,
AXE COMPLIANCE LTD,10795854,,,9 NELSON STREET,NELSON STREET,SOUTHEND-ON-SEA,,ENGLAND,SS1 1EH,Private Limited Company,Active,United Kingdom,,31/05/2017,31,5,28/02/2022,31/05/2020,TOTAL EXEMPTION FULL,28/06/2018,,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/10795854,,,,,,,,,,,,,,,,,,,,,13/06/2022,30/05/2021
AXE CONSTRUCTION LTD,11574690,,,79 CHELSHAM ROAD,,SOUTH CROYDON,,ENGLAND,CR2 6HZ,Private Limited Company,Active,United Kingdom,,18/09/2018,30,9,30/06/2022,30/09/2020,MICRO ENTITY,16/10/2019,,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id/company/11574690,,,,,,,,,,,,,,,,,,,,,29/10/2021,15/10/2020
AXE CONSTRUCTION RECRUITMENT LIMITED,11197563,,,TREVIOT HOUSE,186-192 HIGH ROAD,ILFORD,ESSEX,UNITED KINGDOM,IG1 1LR,Private Limited Company,Active,United Kingdom,,09/02/2018,31,3,31/12/2021,31/03/2020,SMALL,09/03/2019,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11197563,04/12/2018,DAY WEBSTER CONSTRUCTION LIMITED,,,,,,,,,,,,,,,,,,,23/02/2022,09/02/2021
AXE CONSULTANCY AND SERVICES LTD,11959802,,,30 OLIVIER ROAD,,CRAWLEY,,UNITED KINGDOM,RH10 7ZG,Private Limited Company,Active,United Kingdom,,24/04/2019,30,4,31/01/2022,30/04/2020,TOTAL EXEMPTION FULL,22/05/2020,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/11959802,,,,,,,,,,,,,,,,,,,,,07/05/2022,23/04/2021
AXE CONSULTANTS LIMITED,13477870,,,130 OLD STREET,,LONDON,,ENGLAND,EC1V 9BD,Private Limited Company,Active,United Kingdom,,25/06/2021,30,6,25/03/2023,,NO ACCOUNTS FILED,23/07/2022,,0,0,0,0,69203 - Tax consultancy,,,,0,0,http://business.data.gov.uk/id/company/13477870,,,,,,,,,,,,,,,,,,,,,08/07/2022,
AXE CONTRACTING SERVICES LTD,12294237,,,167-169 GREAT PORTLAND STREET,,LONDON,,ENGLAND,W1W 5PF,Private Limited Company,Active,United Kingdom,,01/11/2019,30,11,31/08/2022,30/11/2020,MICRO ENTITY,29/11/2020,,0,0,0,0,43390 - Other building completion and finishing,,,,0,0,http://business.data.gov.uk/id/company/12294237,,,,,,,,,,,,,,,,,,,,,14/11/2021,31/10/2020
AXE CORPORATE LIMITED,SC566274,,,"LEVEL 8,",110 QUEEN STREET,GLASGOW,,,G1 3BX,Private Limited Company,Liquidation,United Kingdom,,18/05/2017,31,5,31/05/2021,31/05/2019,MICRO ENTITY,15/06/2018,,0,0,0,0,66110 - Administration of financial markets,,,,0,0,http://business.data.gov.uk/id/company/SC566274,11/09/2017,AFS CORPORATE LIMITED,25/08/2017,ASSET FINANCE SOLUTIONS (SCOTLAND) LIMITED,,,,,,,,,,,,,,,,,14/12/2021,30/11/2020
AXE CREATIVE STITCH & PRINT LIMITED,12645895,,,THE DESIGN STUDIO,WOODMEAD ROAD,AXMINSTER,DEVON,ENGLAND,EX13 5PQ,Private Limited Company,Active,United Kingdom,,04/06/2020,30,6,04/03/2022,,NO ACCOUNTS FILED,02/07/2021,,0,0,0,0,32990 - Other manufacturing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12645895,,,,,,,,,,,,,,,,,,,,,17/06/2022,03/06/2021
AXE CREATIVE STUDIO LTD,12876503,,,71-75 SHELTON STREET,,LONDON,GREATER LONDON,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,13/09/2020,30,9,13/06/2022,,NO ACCOUNTS FILED,11/10/2021,,0,0,0,0,74201 - Portrait photographic activities,74209 - Photographic activities not elsewhere classified,90030 - Artistic creation,,0,0,http://business.data.gov.uk/id/company/12876503,,,,,,,,,,,,,,,,,,,,,26/09/2021,
AXE CRISS TRANSPORT AND CONSTRUCTION LTD,12600373,,,17 SPRINGFIELD DRIVE,,ILFORD,,ENGLAND,IG2 6PT,Private Limited Company,Active,United Kingdom,,13/05/2020,31,5,13/02/2022,,NO ACCOUNTS FILED,10/06/2021,,0,0,0,0,43290 - Other construction installation,43310 - Plastering,49420 - Removal services,52103 - Operation of warehousing and storage facilities for land transport activities,0,0,http://business.data.gov.uk/id/company/12600373,05/08/2020,AXE CRISS CONSTRUCTION LTD,,,,,,,,,,,,,,,,,,,18/08/2021,04/08/2020
AXE EDGE BARS LIMITED,8366802,,,UNIT 4B,STADEN BUSINESS PARK,BUXTON,DERBYSHIRE,UNITED KINGDOM,SK17 9RZ,Private Limited Company,Active,United Kingdom,,18/01/2013,31,3,31/12/2021,31/03/2020,TOTAL EXEMPTION FULL,15/02/2017,18/01/2016,1,1,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id/company/08366802,,,,,,,,,,,,,,,,,,,,,01/02/2022,18/01/2021
AXE EDGE LIMITED,10533233,,,HUNTINGDON HOUSE,HUNTINGDON STREET,NOTTINGHAM,,UNITED KINGDOM,NG1 3LY,Private Limited Company,Active,United Kingdom,,20/12/2016,31,12,30/09/2021,31/12/2019,MICRO ENTITY,17/01/2018,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id/company/10533233,,,,,,,,,,,,,,,,,,,,,02/01/2022,19/12/2020
AXE ELECTRICALS LTD,11350129,,,90 CHALLICE WAY,90 CHALLICE WAY,LONDON,,UNITED KINGDOM,SW2 3RD,Private Limited Company,Active,United Kingdom,,08/05/2018,31,5,28/02/2022,31/05/2020,MICRO ENTITY,05/06/2019,,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/11350129,,,,,,,,,,,,,,,,,,,,,21/05/2022,07/05/2021
AXE ELECTRICS LIMITED,SC684095,,,11 REDWOOD WALK,NEWTONGRANGE,DALKEITH,,SCOTLAND,EH22 4NS,Private Limited Company,Active,United Kingdom,,21/12/2020,31,12,21/09/2022,,NO ACCOUNTS FILED,18/01/2022,,0,0,0,0,33140 - Repair of electrical equipment,,,,0,0,http://business.data.gov.uk/id/company/SC684095,,,,,,,,,,,,,,,,,,,,,03/01/2022,
AXE ENGINEERING LIMITED,7420343,,,12 HAVILAND ROAD,FERNDOWN INDUSTRIAL ESTATE,WIMBORNE,DORSET,ENGLAND,BH21 7RG,Private Limited Company,Active,United Kingdom,,27/10/2010,31,10,31/07/2022,31/10/2020,TOTAL EXEMPTION FULL,24/11/2016,27/10/2015,0,0,0,0,71122 - Engineering related scientific and technical consulting activities,,,,0,0,http://business.data.gov.uk/id/company/07420343,,,,,,,,,,,,,,,,,,,,,19/10/2021,05/10/2020
